timestamp,gazepoint_x,gazepoint_y,pupil_area_right_sq_mm,pupil_area_left_sq_mm,eye_event
3,0.4831,0.6313,0.44,0.61,FB
3,0.4939,0.6113,0.46,0.62,FEx0.483y0.631d0.100
3,0.4795,0.6817,0.54,0.66,S
3,0.4849,0.7137,0.55,0.67,FB
3,0.4904,0.8141,0.6,0.62,FEx0.485y0.714d0.097
4,0.4982,0.7946,0.6,0.66,S
4,0.4831,0.7883,0.59,0.61,FB
4,0.4839,0.7911,0.61,0.57,NA
4,0.4757,0.7221,0.56,0.66,FEx0.483y0.790d0.223
4,0.4691,0.6719,0.46,0.6,S
4,0.4167,0.2999,0.45,0.55,S
4,0.4522,0.4603,0.49,0.62,S
4,0.4748,0.5314,0.52,0.69,S
5,0.518,0.6536,0.49,0.62,S
5,0.5039,0.7117,0.52,0.62,S
5,0.4838,0.7055,0.55,0.61,FB
5,0.4833,0.7073,0.55,0.64,NA
5,0.4856,0.7102,0.56,0.67,FEx0.484y0.706d0.235
5,0.4755,0.6032,0.48,0.62,S
5,0.4953,0.5961,0.5,0.58,FB
5,0.4726,0.6873,0.59,0.66,FEx0.495y0.596d0.135
6,0.4872,0.7035,0.58,0.68,S
6,0.5026,0.7331,0.57,0.64,S
6,0.4809,0.8056,0.48,0.48,S
6,0.4331,0.7147,0.51,0.6,S
6,0.4415,0.7244,0.5,0.59,FB
6,0.471,0.7596,0.54,0.7,FEx0.442y0.724d0.129
6,0.4221,0.6172,0.46,0.59,S
6,0.3912,0.5193,0.42,0.57,S
6,0.414,0.4309,0.42,0.61,S
7,0.4672,0.5152,0.46,0.61,S
7,0.4588,0.5792,0.48,0.6,S
7,0.4974,0.6716,0.48,0.6,S
7,0.4612,0.6961,0.46,0.62,S
7,0.4496,0.7138,0.46,0.63,FB
7,0.4815,0.7674,0.59,0.68,FEx0.450y0.714d0.126
7,0.4951,0.7232,0.58,0.67,S
8,0.4608,0.7591,0.53,0.52,S
8,0.4339,0.7075,0.51,0.71,S
8,0.4462,0.7336,0.53,0.72,S
8,0.4461,0.779,0.55,0.64,S
8,0.4179,0.7218,0.51,0.69,S
8,0.4708,0.6595,0.53,0.74,S
8,0.5297,0.8229,0.49,0.34,BB
8,0.5196,0.9383,0.53,0.56,BE
9,0.5094,0.8277,0.57,0.59,S
9,0.5079,0.7746,0.59,0.66,S
9,0.5053,0.7221,0.49,0.6,S
9,0.392,0.4693,0.41,0.6,S
9,0.4089,0.5597,0.51,0.65,S
9,0.4125,0.608,0.65,0.83,S
9,0.4858,0.9182,0.58,0.8,S
9,0.5495,0.9572,0.52,0.57,S
1,0.5032,0.9843,0.51,0.66,S
1,0.4824,1.0139,0.42,0.49,S
1,0.4552,0.4585,0.46,0.61,S
1,0.4492,0.5764,0.46,0.58,S
1,0.4434,0.6119,0.48,0.63,S
1,0.4919,0.5973,0.48,0.58,S
1,0.4993,0.546,0.46,0.58,FB
1,0.4828,0.6139,0.47,0.59,FEx0.499y0.546d0.111
1,0.4821,0.6415,0.47,0.59,S
2,0.4995,0.6476,0.49,0.65,S
2,0.5184,0.6208,0.49,0.64,S
2,0.5033,0.6317,0.46,0.6,S
2,0.4928,0.6513,0.46,0.59,FB
2,0.4804,0.6673,0.49,0.68,FEx0.493y0.651d0.145
2,0.4895,0.8333,0.51,0.64,S
2,0.5046,0.8142,0.56,0.58,S
